Point Name,Year,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,CalciumA,CalciumB,CECA,CECB,ClayA,ClayB,MagnesiumA,MagnesiumB,Olsen PA,Olsen PB,Organic CarbonA,Organic CarbonB,pHA,pHB,PotassiumA,PotassiumB,SandA,SandB,SiltA,SiltB,SodiumA,SodiumB,TextureA,TextureB,Total CarbonA,Total CarbonB,Total NitrogenA,Total NitrogenB,richA,richB
TOKA-115,2018,1.021985635856116,0.08762792454483348,49.6,42.7235298167181,3.1,1.7,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-119,2015,1.2182930898462254,0.09493903457090747,17.8,11.454256850621082,3.5,2.1,34.8,3.96232255123179,12,12,38,40,31.2,35,10,12,15,5.4,3.5,2.1,5.8,5.3,1.1,0.68,28.8,23.8,40,41.2,0.18,0.53,Clay Loam,Clay Loam,3.5,2.1,0.27,0.19,1311.9,1014
TOKA-119,2018,1.2078724088104025,0.06145818268447634,35.4,19.76866206904251,2.8,2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-122,2015,NaN,NA,16,13.711309200802088,4.4,1.5,37.2,1.9235384061671343,17,16,45,39,36.2,35,12,13,15,5.3,4.4,1.5,6,6.1,1.1,0.75,25,30,38.8,35,0.31,0.5,Clay Loam,Clay Loam,4.4,1.5,0.29,0.16,NA,NA
TOKA-122,2018,1.0154587126484513,0.1661017963368526,166.4,289.3376919794585,3.3,2.1,36.6,7.602631123499286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-126,2015,1.0538892486440006,0.17110005507497558,33,31.280984639234106,4.8,2.6,33.6,2.4083189157584592,16,16,43,40,35,38.8,10,11,8.6,2.4,4.8,2.6,5.8,5.6,0.94,0.7,28.8,23.8,36.2,37.5,0.5,0.46,Clay Loam,Clay Loam,4.8,2.6,0.42,0.25,1632.3,1205.2
TOKA-126,2018,1.2050005625990299,0.03592002512923489,41.2,32.166753022336586,4,2.4,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-129,2015,1.17770291616889,0.17079460931499424,15.4,9.09945053286186,3.7,2.6,36.6,1.51657508881031,12,12,33,35,35,37.5,7,7.1,8.7,3.5,3.7,2.6,5.6,5.5,0.84,0.59,22.5,21.2,42.5,41.2,0.3,0.35,Clay Loam,Clay Loam,3.7,2.6,0.35,0.25,1525.8,1343.3
TOKA-129,2018,1.0953482527102656,0.112599735506952,25.4,23.964557162609953,3.5,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-135,2015,1.2553031597817574,0.08551424863864143,25.6,20.23116407921205,3.2,2.2,36.2,0.8366600265340756,12,12,32,29,30,33.8,6,5.8,9.3,3.9,3.2,2.2,5.8,5.6,0.92,0.59,30,29.4,40,36.9,0.3,0.34,Clay Loam,Clay Loam,3.2,2.2,0.29,0.21,1767.3,1357.3
TOKA-135,2018,1.1969246596592042,0.12959973813924922,329,537.3285773155937,3.2,2.1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-137,2015,1.273268254458378,0.14608866473157978,45.4,65.84299507160955,4,2.6,37,1.224744871391589,15,15,41,39,30,32.5,7.8,8.2,7.5,2.7,4,2.6,5.6,5.7,0.67,0.36,38.8,38.8,31.2,28.8,0.37,0.44,Clay Loam,Clay Loam,4,2.6,0.28,0.21,1450.8,1031
TOKA-137,2018,1.096914714280105,0.09466806562058791,497.4,427.9407669292562,3.6,2.6,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-147,2015,NaN,NA,14.4,6.024948132556827,3.4,1.7,37.6,1.816590212458495,18,17,45,40,33.8,30,13,13,12,2.8,3.4,1.7,6,6.3,0.93,0.41,37.5,43.8,28.8,26.2,0.28,0.24,Clay Loam,Clay Loam,3.4,1.7,0.3,0.15,NA,NA
TOKA-147,2018,1.0424801747281827,0.09027397846837827,120.2,136.30553913909736,2.5,1.7,36,8.94427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-154,2015,1.1474236135739841,0.15445754486874957,20.2,11.77709641634983,2.6,1.9,37.4,2.302172886644268,14,15,40,47,41.2,42.5,11,11,8.3,3.3,2.6,1.9,5.7,5.4,0.71,0.57,17.5,17.5,41.2,40,0.24,0.33,Silty Clay,Silty Clay,2.6,1.9,0.29,0.24,NA,NA
TOKA-154,2018,1.0477017132943143,0.08668456815095904,198.2,271.362672451463,2.1,1.7,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-161,2015,NaN,NA,5.4,3.361547262794322,5,2.2,38,0.7071067811865476,15,10,56,34,38.8,42.5,8.9,8.7,4.7,1,5,2.2,5.6,5.3,1.1,0.68,22.5,17.5,38.8,40,0.2,0.38,Clay Loam,Silty Clay,5,2.2,0.41,0.25,NA,NA
TOKA-161,2018,0.8774340849110224,0.15093647179494205,5.4,3.7815340802378077,6.2,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-169,2015,1.1310016377394507,0.07578073722288925,63.8,66.57852506627043,3.4,2,37,1,10,8.8,32,33,38.8,41.2,8.4,8.5,12,4.7,3.4,2,5.2,5,1.2,0.79,26.2,26.2,35,32.5,0.27,0.37,Clay Loam,Clay Loam,3.4,2,0.33,0.22,1327.1,1408.1
TOKA-169,2018,0.998145026614649,0.12989901508977844,42.4,58.67111725542645,2.3,2.1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
